fsize,func_elapsed,fwrite_elapsed,provider,lang
1,0.065736388,0.000307448,aws,javascript
1,0.000324374,0.000122979,aws,javascript
1,0.00014338,0.000062339,aws,javascript
1,0.000079198,0.000057367,aws,javascript
1,0.000094579,0.000065927,aws,javascript
1,0.000080691,0.000058420,aws,javascript
1,0.000129174,0.000080445,aws,javascript
1,0.000082915,0.000060746,aws,javascript
1,0.000085789,0.000062524,aws,javascript
1,0.000164948,0.000117541,aws,javascript
1,0.000127818,0.000081018,aws,javascript
1,0.00007898,0.000057399,aws,javascript
1,0.000087481,0.000057048,aws,javascript
1,0.000079951,0.000058377,aws,javascript
1,0.000079392,0.000057901,aws,javascript
1,0.000080731,0.000058767,aws,javascript
1,0.000078489,0.000057097,aws,javascript
1,0.000082675,0.000059639,aws,javascript
1,0.000080142,0.00005907,aws,javascript
1,0.000083127,0.000057142,aws,javascript
1,0.000328255,0.000069855,aws,javascript
1,0.000179689,0.000132568,aws,javascript
1,0.000085105,0.000062025,aws,javascript
1,0.000087354,0.000063365,aws,javascript
1,0.000081981,0.000060032,aws,javascript
1,0.000104243,0.000075517,aws,javascript
1,0.000078226,0.000057125,aws,javascript
1,0.000078506,0.000057245,aws,javascript
1,0.000083285,0.000056121,aws,javascript
1,0.00189933,0.000059525,aws,javascript
1,0.000077497,0.000056756,aws,javascript
1,0.020037211,0.000099072,aws,javascript
1,0.000084848,0.000060396,aws,javascript
1,0.000077251,0.000056854,aws,javascript
1,0.000076177,0.000055793,aws,javascript
1,0.000076021,0.000055755,aws,javascript
1,0.000075747,0.000055845,aws,javascript
1,0.000076008,0.000055775,aws,javascript
1,0.000076774,0.000056783,aws,javascript
1,0.000151887,0.000104617,aws,javascript
1,0.000077414,0.000057326,aws,javascript
1,0.00007632,0.000056182,aws,javascript
1,0.000076414,0.000056108,aws,javascript
1,0.000076830,0.000056267,aws,javascript
1,0.000077350,0.000056725,aws,javascript
1,0.000076597,0.000056346,aws,javascript
1,0.000080772,0.000056271,aws,javascript
1,0.000076074,0.000055818,aws,javascript
1,0.000083639,0.000061161,aws,javascript
1,0.000117146,0.000080107,aws,javascript
1,0.000110640,0.000076941,aws,javascript
1,0.000077351,0.00005695,aws,javascript
1,0.000077101,0.000056301,aws,javascript
1,0.000078098,0.000057090,aws,javascript
1,0.000077089,0.000056519,aws,javascript
1,0.000077900,0.000057451,aws,javascript
1,0.000077145,0.000056391,aws,javascript
1,0.000076494,0.000055910,aws,javascript
1,0.00008642,0.000063938,aws,javascript
1,0.000083116,0.000062135,aws,javascript
1,0.000083481,0.000060821,aws,javascript
1,0.000076937,0.000056850,aws,javascript
1,0.000540362,0.000072442,aws,javascript
1,0.000249436,0.000076979,aws,javascript
1,0.000088801,0.000064384,aws,javascript
1,0.000332762,0.000309009,aws,javascript
1,0.000080244,0.000060124,aws,javascript
1,0.00008362,0.000060464,aws,javascript
1,0.000144152,0.000102690,aws,javascript
1,0.000094323,0.000075508,aws,javascript
1,0.000073925,0.000055017,aws,javascript
1,0.000074282,0.000055888,aws,javascript
1,0.000074229,0.000055819,aws,javascript
1,0.000180319,0.000138378,aws,javascript
1,0.000074249,0.000055605,aws,javascript
1,0.00007708,0.000056716,aws,javascript
1,0.000074297,0.000055866,aws,javascript
1,0.000082875,0.000058973,aws,javascript
1,0.000077555,0.000056042,aws,javascript
1,0.000119858,0.000083644,aws,javascript
1,0.000074903,0.000055876,aws,javascript
1,0.000076801,0.000058305,aws,javascript
1,0.000075000,0.000056125,aws,javascript
1,0.000076119,0.000056954,aws,javascript
1,0.000074358,0.000055633,aws,javascript
1,0.000074859,0.000055848,aws,javascript
1,0.000081713,0.000060129,aws,javascript
1,0.000118475,0.000082005,aws,javascript
1,0.000075122,0.000056090,aws,javascript
1,0.000114172,0.00008729,aws,javascript
1,0.000078062,0.000058796,aws,javascript
1,0.000076083,0.000056736,aws,javascript
1,0.000076615,0.000057842,aws,javascript
1,0.000075183,0.000056659,aws,javascript
1,0.000092052,0.000062595,aws,javascript
1,0.000084135,0.000062521,aws,javascript
1,0.000075416,0.000056643,aws,javascript
1,0.000075772,0.000057313,aws,javascript
1,0.000148016,0.000106272,aws,javascript
1,0.000074797,0.000056235,aws,javascript
